지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
236,2012-01-01,-1.4,-6.1,2358,.9,1312,,,,,,1.5,9.4,290,1425,5.4,320,1434,1.6,1357,-5.7,54,1659,73,4.1,1023.8,1027.1,2102,1022.5,1308,1025.2,9.8,.6,,,,,,,,,,,-.3,-8.2,,,,,,,,,,,,,
236,2012-01-02,-3.4,-8.2,219,1.3,1555,,,,,,,3.7,20,1410,1.9,250,917,.7,562,-7.6,54,1601,73,3.5,1025.4,1029.3,950,1025,2400,1026.9,9.7,5.9,,,,,,,,,,,-1,-9.2,,,,,,,,,,,,,
236,2012-01-03,-3.1,-7.1,749,1.6,1355,,,,,,1.5,6.4,340,1700,3.6,290,1707,1.1,991,-5.9,53,1320,81.3,4,1021.2,1025.3,203,1019,1427,1022.6,9.8,1.7,,,,,,,,,,,-1.3,-8.2,,,,,,,,,,,,,
236,2012-01-04,-3.8,-5.8,717,-1.9,1427,,,,,,.5,7.1,320,1137,4.2,340,1226,2,1732,-9.4,52,1330,65.8,3,1025.1,1029.2,2238,1022.4,2,1026.6,9.8,4.2,,,,,,,,,,,-.2,-6.1,,,,,,,,,,,,,
236,2012-01-05,-5.9,-10.8,710,.2,1557,,,,,,,4.8,290,1619,3.1,270,1609,.8,664,-10.4,43,1618,71.5,2.8,1028.6,1031.7,945,1028.7,1603,1030.1,9.8,6.6,,,,,,,,,,,-.9,-11.3,,,,,,,,,,,,,
236,2012-01-06,-3.4,-10.1,108,3.6,1420,,,,,,,5.1,290,1642,3,290,1641,.9,820,-9.3,42,1211,65.5,3,1030.3,1034.4,2238,1029.9,1344,1031.8,9.8,6.4,,,,,,,,,,,-1.1,-11.3,,,,,,,,,,,,,
236,2012-01-07,-5.4,-11.9,749,2.8,1630,,,,,,,3.7,320,1221,2.5,230,1443,.4,372,-10.9,34,1221,68.1,2.7,1034,1038,1012,1034.3,1625,1035.5,9.8,8.6,,,,,,,,,,,-2.6,-13.5,,,,,,,,,,,,,
236,2012-01-08,-3.9,-10.3,625,3.4,1404,,,,,,,6,290,1450,3.9,320,1430,.7,626,-8.7,46,1348,71,3.2,1031,1034.8,139,1030.2,1522,1032.5,9.8,4.9,,,,,,,,,,,-2.3,-11.9,,,,,,,,,,,,,
236,2012-01-09,-1.3,-6,446,2.8,1541,,,,,,,2.4,230,732,1.5,270,1221,.5,409,-4.7,59,1456,77.6,4.3,1029.1,1032.2,959,1028.7,1530,1030.6,9.8,0,,,,,,,,,,,-1.1,-7.7,,,,,,,,,,,,,
236,2012-01-10,-.3,-3.6,812,4.2,1406,,,,,,,7.1,270,1414,4.3,320,1430,1,905,-7.6,37,1045,59.6,3.5,1027.1,1030.2,451,1026.7,1423,1028.6,9.9,7.5,,,,,,,,,,,-.4,-4.6,,,,,,,,,,,,,
