지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
232,2022-01-01,-6.5,-13.2,611,1,1555,,,,,,,3.4,160,1244,2.2,110,1456,.6,524,-13.8,31,1533,59.3,2.1,1020.4,1034.3,206,1029,2232,1031.5,9.7,9,,,,,,,,,1.6,.3,-3.2,-13.9,,,,,,,,,,,,,
232,2022-01-02,-2.3,-8.6,331,4.9,1204,,,,,,.3,7.9,290,1539,4.5,270,1406,1.2,1019,-7.2,37,1540,70.3,3.6,1016.3,1029.1,1,1025.8,512,1027.2,9.7,6.4,,,,,,,,,3.6,3.1,-1.2,-10.9,,,,,,,,,,,,,
232,2022-01-03,-4.2,-11.9,725,3,1610,,,,,,,5.7,270,1314,3.5,250,1328,.6,528,-8.3,48,1211,75.1,3.3,1015.9,1029.1,916,1025,2158,1026.8,9.7,8.2,,,,,,,,,2.6,1.3,-2.3,-13.8,,,,,,,,,,,,,
232,2022-01-04,-2.2,-8,2357,2.5,1401,,,,,,,6.9,250,1153,3.8,270,1118,1.2,1006,-10.1,20,1357,59.3,3,1017.4,1029.8,2327,1025,39,1028.3,9.7,9.1,,,,,,,,,1.7,,-.7,-12,,,,,,,,,,,,,
232,2022-01-05,-3.7,-10.7,533,3.1,1441,,,,,,,2.3,160,1337,1.5,250,1513,.3,284,-9.7,39,1443,65.8,3,1016.7,1029.8,213,1025.3,1543,1027.7,9.7,.8,,,,,,,,,8.1,4.6,-1.5,-13,,,,,,,,,,,,,
232,2022-01-06,-2.7,-9,713,4.4,1501,,,,,,,6.5,320,1305,3.3,290,1136,1.1,910,-9.4,29,1252,64.9,3,1018.1,1031.1,2307,1026.6,57,1029,9.8,9,,,,,,,,,0,0,-1.6,-12,,,,,,,,,,,,,
232,2022-01-07,-4.1,-11.1,748,5,1513,,,,,,,4.9,270,1534,3.1,250,1529,.7,562,-11.1,24,1603,63.6,2.6,1019.1,1032.5,837,1028.1,1503,1030.1,9.8,9,,,,,,,,,0,0,-2.4,-13.4,,,,,,,,,,,,,
232,2022-01-08,-1.2,-10.4,644,6.5,1438,,,,,,,6.1,270,1323,3.4,270,1425,.7,620,-6.4,44,1231,69.8,4,1014.3,1028.9,7,1022.6,2348,1025.2,9.8,5.9,,,,,,,,,3,2.6,-.9,-12.3,,,,,,,,,,,,,
232,2022-01-09,.7,-4.8,2341,5.5,1328,,,,,,,5.1,270,1124,2.7,250,1217,.7,647,-3.6,45,1239,74.4,4.7,1012,1023.8,2109,1021.3,1412,1022.7,9.8,7.3,,,,,,,,,3.3,1.8,.7,-8.7,,,,,,,,,,,,,
232,2022-01-10,-1,-7.7,741,5.1,1454,,,,,,0,5.4,340,2110,2.7,340,2116,1,897,-6,35,1633,73.5,4,1010.2,1024,933,1017.8,2354,1020.9,9.8,.9,,,,,,,,,7.6,3.6,-.2,-10.1,,,,,,,,,,,,,
232,2022-01-11,-5.1,-8.6,2400,.3,136,,,,,,.5,11.1,270,1339,5.3,270,1344,2.7,2344,-11.6,41,1418,60.5,2.6,1010,1024.7,2356,1016.9,58,1021,9.9,8.3,,,,,,,,,2.4,1.8,-1.6,-10.9,,,,,,,,,,,,,
232,2022-01-12,-7.3,-13.8,731,-1.4,1505,,,,,,,7.7,270,1603,3.8,290,1608,1.1,991,-13.4,44,1555,62.6,2.2,1012.4,1025.3,257,1021.6,1419,1023.4,9.9,9.2,,,,,,,,,2.9,1.1,-3.7,-15.2,,,,,,,,,,,,,
