지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
232,2011-01-01,-8.8,-14.8,521,-2.2,1548,,,,,,,6.3,270,1333,4.5,270,1318,1.7,1501,-12.6,47,1248,75.1,2.4,1019.8,1027.3,2350,1017.1,22,1022.6,9.7,7.3,,,,,,5,0,,2.8,1.4,-1.1,-15.6,,,,,,,,,,,,,
232,2011-01-02,-7.2,-14,724,.1,1409,,,,,,,6,270,1442,4.7,270,1449,1.3,1120,-10.7,39,1412,77.1,2.8,1024.3,1029.2,852,1025.5,2155,1027.2,9.7,8.3,,,,,,4.5,0,,1.5,1.5,-1.8,-13,,,,,,,,,,,,,
232,2011-01-03,-6,-13.2,649,-.5,1555,,,,,,,5.1,270,1402,4,270,1411,1.3,1165,-9.9,51,1551,75.1,2.9,1020.2,1025.6,0,1021.1,1520,1022.9,9.7,4.3,,,,,,4,0,,4.3,1.9,-1.9,-16.5,,,,,,,,,,,,,
232,2011-01-04,-4.1,-10.9,409,1,1323,,,,,,,4.8,270,1420,3.3,270,1439,1,824,-6.8,63,1326,81.6,3.7,1019,1022.8,1030,1020.8,1707,1021.7,9.7,.8,,,,,,3.2,0,,6.8,6.8,-1.7,-13.6,,,,,,,,,,,,,
232,2011-01-05,-1.5,-4.2,2347,.8,1129,8.33,,,,,.2,10.5,270,1314,8.1,270,1314,3.4,2977,-6.2,54,1404,70.6,3.9,1018.4,1023.4,2356,1019.4,1439,1021.2,9.7,.5,,,,.5,2400,3.5,2400,.5,7.9,6.9,-.9,-4.3,,,,,,,,,,,,,
232,2011-01-06,-5.9,-8.8,2352,-3.3,1451,5.25,,,,,0,8.4,320,1604,5.5,270,1305,3,2565,-12.5,42,1214,60.3,2.4,1023.2,1028.6,2336,1023.3,0,1026,9.8,8.6,,,,.2,650,3.7,650,.2,2.9,2.9,-1.1,-10.7,,,,,,,,,,,,,
232,2011-01-07,-8.2,-15,651,-1.4,1538,,,,,,,6.1,250,1349,4.6,250,1355,1.4,1228,-13.3,37,1157,69.8,2.2,1025.8,1030.7,1013,1027,2147,1028.6,9.8,8.7,,,,,,3.5,0,,0,0,-2.8,-15.2,,,,,,,,,,,,,
232,2011-01-08,-4.6,-12.4,617,3.5,1424,.75,,,,,0,6.1,230,1515,4.3,110,1045,1.2,1077,-7.4,56,1426,81.6,3.7,1021.9,1027.8,141,1022.3,2043,1024.6,9.8,2.8,,,,,,2.7,0,,5,5,-2.7,-13.1,,,,,,,,,,,,,
232,2011-01-09,-4.8,-10.2,2400,-.2,327,1.5,,,,,0,11.3,290,1339,7.8,270,1356,4,3464,-12,41,1256,57.8,2.6,1022.9,1028.4,2400,1021.5,142,1025.7,9.8,6.6,,,,,,2.3,0,,3,2.6,-1.9,-11.7,,,,,,,,,,,,,
232,2011-01-10,-9.1,-15.9,807,-3.5,1504,,,,,,,7.3,270,1447,4.7,270,1348,1.8,1571,-17,31,1206,57.3,1.7,1023.6,1029.3,856,1023.3,2356,1026.4,9.8,7.4,,,,,,1.9,0,,2.1,0,-4.2,-16.6,,,,,,,,,,,,,
232,2011-01-11,-4.3,-10.5,29,.9,1500,3.83,,,,,1.3,9.1,360,2308,5.4,320,2309,2,1729,-10.3,50,1302,62.9,2.9,1015,1023.4,0,1014.8,1734,1017.8,9.8,2.8,,,,2.4,2155,3.7,2155,2.5,6.6,5.9,-3.1,-11.3,,,,,,,,,,,,,
