지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
238,2020-01-01,-2.6,-10.1,215,3.8,1431,,,,,,,7.2,320,1310,3.7,290,1249,.8,656,-7.3,48,1431,71.1,3.6,1011.1,1036.2,25,1031.4,1417,1033.3,9.8,4.1,,,,,,,,,5.3,,-.9,-5.8,,,,,,,,,,,,,
238,2020-01-02,-.3,-5.7,311,5.8,1239,,,,,,,6.5,320,1419,2.9,320,1424,.6,512,-3.4,54,1300,80.5,4.8,1008.9,1033.1,917,1029,1259,1030.8,9.8,2.2,,,,,,,,,4.6,,.2,-4,,,,,,,,,,,,,
238,2020-01-03,.8,-3.6,2353,7,1410,,,,,,,5.4,290,1356,3.1,290,1159,.7,606,-2.6,49,1459,79.8,5,1006.1,1029.9,1,1025.5,1451,1027.9,9.8,6.1,,,,,,,,,4,,1.4,-3.9,,,,,,,,,,,,,
238,2020-01-04,-1.1,-5.9,349,6.9,1419,,,,,,,6.3,360,1402,3.2,290,1603,.6,537,-3.2,54,1550,86.5,4.9,1005.6,1029.9,2338,1025.1,1422,1027.5,9.8,4.1,,,,,,,,,2.4,,-.4,-4.6,,,,,,,,,,,,,
238,2020-01-05,-.7,-6.2,325,8.7,1529,,,,,,,2.5,340,1352,1.3,290,156,.4,349,-5.6,22,1445,75,4.1,1009.5,1033.8,929,1029.5,44,1031.4,9.8,5.9,,,,,,,,,3.8,,-.1,-4.9,,,,,,,,,,,,,
238,2020-01-06,1.7,-3.2,13,4.1,2342,,,,,,16.7,2.7,160,2027,1.7,180,1859,.7,633,.4,74,611,91.5,6.5,1004.9,1031.6,641,1020.8,2359,1026.6,9.8,0,,,,,,,,,9.9,6.4,1.4,-3.3,,,,,,,,,,,,,
238,2020-01-07,8.8,4.1,1,16.4,1820,,,,,,44.5,16.2,180,2315,7.5,230,2322,1.1,952,8,74,2117,95.5,10.9,990.2,1020.8,1,1000.5,2307,1010.9,9.8,0,,,,,,,,,9.8,,6.7,4.1,,,,,,,,,,,,,
238,2020-01-08,4,1.9,2344,12.1,8,,,,,,8.7,16.4,250,117,7.1,250,118,3,2569,2.3,77,40,89,7.3,995,1024,2345,1001.2,2,1016.2,9.9,0,,,,,,,,,9.8,9.3,5,2.7,,,,,,,,,,,,,
238,2020-01-09,1.1,-3.2,2351,4.7,1502,,,,,,,7.2,360,1217,3.1,290,134,1.3,1090,-3.2,50,1509,73.9,4.8,1002.9,1026.6,2244,1022.7,1439,1024.6,9.9,6.2,,,,,,,,,4,1.1,3.2,-3.6,,,,,,,,,,,,,
238,2020-01-10,-1.2,-4.8,913,7,1433,,,,,,,4.5,360,1502,2.7,340,1526,.6,508,-4.2,32,1358,83.3,4.5,1002.7,1027.4,933,1021.7,1432,1024.5,9.9,5.8,,,,,,,,,4.4,.5,1.2,-4,,,,,,,,,,,,,
