지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
238,2012-01-01,-2.2,-9.4,2348,.9,1016,,,,,,2.5,9.2,270,1753,4.8,290,1841,1.1,991,-6.3,57,1747,74,3.9,1003,1027.2,2309,1021.1,1413,1024.6,9.8,0,,,,,,,,,,,-.5,-4.3,,,,,,,,,,,,,
238,2012-01-02,-6.2,-13.3,402,.6,1456,,,,,,,3.7,230,335,1.4,20,1514,.4,357,-9.7,54,1538,76.8,3,1005.2,1029.9,849,1025,2340,1027.3,9.8,6.5,,,,,,,,,,,-1.3,-5.8,,,,,,,,,,,,,
238,2012-01-03,-3.6,-9.8,749,1.8,1257,,,,,,1,8.5,270,2218,4.5,290,2201,1.2,1002,-7.5,45,1248,75.1,3.5,1000.6,1025.7,549,1018.4,1534,1022.3,9.8,1.9,,,,,,,,,,,-1.2,-8.5,,,,,,,,,,,,,
238,2012-01-04,-5,-7.2,735,-1.6,1345,,,,,,.1,7.3,290,1202,3.6,290,1254,1.9,1615,-11,50,1346,63.3,2.7,1004.1,1029.1,2303,1021.6,1,1026,9.8,4.6,,,,,,,,,,,-.9,-7.7,,,,,,,,,,,,,
238,2012-01-05,-5.9,-11.3,728,.9,1320,,,,,,,6.3,320,1423,3.3,290,118,.9,818,-11.2,40,1419,67.6,2.6,1008,1031.9,931,1027.7,1417,1030,9.8,7.8,,,,,,,,,,,-1.8,-10.6,,,,,,,,,,,,,
238,2012-01-06,-5.1,-12.3,310,3.4,1350,,,,,,,6,290,1423,3.1,270,1443,.7,611,-10.1,42,1351,69.6,2.9,1009.7,1034.7,2327,1028.9,1344,1031.8,9.8,6.8,,,,,,,,,,,-2.1,-10.9,,,,,,,,,,,,,
238,2012-01-07,-7,-13.7,703,3.1,1446,,,,,,,3.5,20,1517,1.8,360,1523,.4,362,-12.9,25,1422,66.4,2.3,1013.4,1038.1,858,1033.3,1510,1035.8,9.8,8.7,,,,,,,,,,,-3.1,-12.4,,,,,,,,,,,,,
238,2012-01-08,-5.3,-12.7,623,3.5,1331,,,,,,,5.6,340,1345,3.3,340,1401,.6,558,-12.1,18,1518,64.1,2.5,1010.5,1035.5,223,1029.3,1429,1032.6,9.9,7.8,,,,,,,,,,,-2.8,-11.2,,,,,,,,,,,,,
238,2012-01-09,-3,-9.1,403,3.6,1332,,,,,,,3.7,290,736,1.4,360,1544,.3,273,-7,51,1334,75,3.7,1008.9,1033,959,1028.2,1601,1030.8,9.9,.7,,,,,,,,,,,-1.7,-9.2,,,,,,,,,,,,,
238,2012-01-10,-.4,-4.2,2202,3.8,1326,,,,,,,6.5,270,1507,3.5,290,1528,.9,788,-8.3,32,1329,57,3.3,1006.4,1029.5,347,1026,1440,1028,9.9,6.9,,,,,,,,,,,-.9,-6.3,,,,,,,,,,,,,
