지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
129,2019-01-01,-1.8,-5,703,1.1,1448,,,,,,.5,8.9,290,1619,6.4,340,1500,2.1,1840,-7.5,55,1451,65.5,3.5,1030.9,1036.3,256,1032.4,1337,1034.3,9.7,2,1000,.89,4.3,,,,,,6.6,,-.9,-9.6,0,.5,.9,1.8,,,,,,.7,.9,.5,
129,2019-01-02,-4.7,-8.7,758,1.1,1340,,,,,,,7.2,320,1306,5,340,1315,1.4,1213,-9.3,44,1309,72,3,1031.7,1036.8,921,1033.8,1354,1035.1,9.7,8.9,1200,1.9,11.36,,,,,,1.3,,-1.6,-14,-.1,.5,.8,1.8,,,,,,1,1.5,,
129,2019-01-03,-4.1,-10,707,3.9,1400,,,,,,,4.1,360,1451,2.8,360,1424,.9,807,-9.7,36,1323,68,2.9,1032.4,1037.7,959,1034.3,1633,1035.8,9.7,9.1,1100,2.03,11.51,,,,,,.4,,-1.6,-14.9,-.4,.1,.6,1.6,,,,,,1.1,1.5,,
129,2019-01-04,-2.8,-8.5,513,3.8,1337,,,,,,,3.6,250,1426,2.5,290,1213,.7,579,-5.9,57,1343,79.8,4,1027.7,1035.7,1,1027.6,2341,1031,9.7,.8,1300,.98,4.51,,,,,,4.6,,-1.8,-13.2,-.4,.1,.5,1.4,,,,,,.6,.8,,
129,2019-01-05,-2.2,-8.4,2345,1.7,240,,,,,,,6.6,360,1404,4.5,340,1319,2,1712,-10,29,1429,57,3,1024.7,1030.3,1038,1026.9,1742,1028.1,9.7,9,1300,1.93,11.33,,,,,,3.6,,-.7,-13.8,-.2,.3,.6,1.4,,,,,,1.3,1.9,,
129,2019-01-06,-3.5,-9.2,526,4.1,1355,,,,,,,4.8,320,1512,3.6,340,1549,1,859,-9.5,33,1239,66,3,1025.8,1030.2,930,1028,613,1029.2,9.8,8.4,1200,1.93,10.78,,,,,,3.4,,-1,-13.9,-.3,.1,.5,1.4,,,,,,1.1,1.6,,
129,2019-01-07,-2.3,-8.5,638,4.8,1407,,,,,,,6.1,320,1411,4.2,340,1417,.8,704,-6.2,50,1403,76.5,3.9,1025.6,1030.5,937,1027.9,1751,1028.9,9.8,6.2,1100,1.67,8.71,,,,,,4.8,,-.6,-13.4,-.4,0,.4,1.3,,,,,,.9,1.3,,
129,2019-01-08,-2.9,-6.9,740,1.7,1351,,,,,,,9.4,360,1920,7.1,340,1846,2.8,2414,-10.7,29,1349,58.1,2.8,1026.7,1033.3,2315,1028,115,1030.1,9.8,7.7,1200,1.99,11.48,,,,,,3.9,,-1.1,-13.1,-.3,.1,.5,1.3,,,,,,1.6,2.2,,
129,2019-01-09,-4.3,-10.9,748,1.3,1505,,,,,,,6.3,70,138,4,360,138,1.2,1022,-15.1,20,1507,44.9,2,1030.1,1036.2,814,1029.7,2356,1033.5,9.8,8,1200,1.64,9.12,,,,,,6.4,,-1.5,-16.1,-.5,0,.4,1.2,,,,,,.9,1.3,,
129,2019-01-10,-2.1,-4.3,37,.6,1637,,,,,,.3,3.9,200,1354,2.5,320,1333,.7,580,-5.8,55,232,77.4,4.1,1023.8,1029.9,5,1025.4,1322,1027.1,9.8,.8,1000,.46,2.66,,,,,,8.3,,-1.3,-9,-.2,.1,.4,1.2,,,,,,.4,.5,.3,
129,2019-01-11,2.2,-3.4,12,7.4,1413,,,,,,,5,360,1615,3.3,360,1622,1,871,-2.6,44,1448,72.8,5,1021.9,1027.3,637,1022.6,2354,1025.2,9.8,5.6,1300,1.52,8.53,,,,,,8.5,,1.2,-7,0,.3,.5,1.2,,,,,,1.1,1.5,,
129,2019-01-12,2.3,-2.9,2400,7.6,1325,,,,,,,4.3,360,1213,3,360,1256,1,847,-2.4,42,1301,72.8,5.1,1020.2,1025,2336,1021.6,1346,1023.4,9.9,1.9,1200,1.6,6.44,,,,,,7.8,,1.6,-9.3,.1,.4,.6,1.3,,,,,,.9,1.3,,
129,2019-01-13,-.4,-6.5,739,7.2,1438,,,,,,,5.4,320,1555,4.1,340,1604,.8,733,-4.4,37,1454,77.9,4.4,1022.9,1027.3,2310,1025,1,1026.2,9.9,8.3,1200,1.91,10.79,,,,,,1.3,,.7,-12.1,.3,.8,.9,1.5,,,,,,1.3,1.9,,
129,2019-01-14,.3,-5.7,725,6.6,1448,,,,,,,3.3,70,1321,1.8,290,1235,.6,495,-3.1,50,1449,80,4.9,1022.5,1028.2,1029,1024,2339,1025.8,9.9,2.1,1100,1.46,6.59,,,,,,6.8,,.7,-10.1,.8,.9,1,1.6,,,,,,.7,1,,
129,2019-01-15,-.9,-4.8,2303,3.9,1124,,,,,,.1,11,360,1642,7.9,340,1643,3.1,2651,-5.5,50,1510,72,4.3,1021.8,1028.5,2317,1023.1,458,1025.1,9.9,4.5,1400,1.47,5.82,,,,,,5.3,,.7,-8.7,.9,1.1,1.1,1.7,,,,,,1,1.4,.1,
129,2019-01-16,-3.7,-8.7,802,-.2,1257,,,,,,,6.8,320,1423,4.7,340,1359,1.7,1502,-10.2,25,1350,61.4,2.9,1024.2,1030.2,1028,1025.4,2358,1027.6,9.9,8.4,1300,2.03,11.42,,,,,,4.8,,-.9,-12.3,.2,.8,1,1.7,,,,,,1.2,1.7,0,
129,2019-01-17,.6,-5.5,2353,5.4,1443,,,,,,0,7.6,320,1206,5.2,340,1525,2.1,1825,-6.3,31,1420,61.4,3.8,1021.9,1028.5,2359,1023.2,538,1025.2,10,6.3,1300,1.84,9.1,,,,,,4.1,,1.3,-11.1,.7,.9,1,1.6,,,,,,1.2,1.7,,
129,2019-01-18,-.6,-6.9,655,6.9,1435,,,,,,,4.8,180,1456,3.4,290,1544,.8,712,-4.5,47,1420,77.6,4.4,1024.6,1030.1,905,1026.7,1359,1028,10,7.2,1200,1.88,10.5,,,,,,4.9,,.5,-11.4,.4,.8,1,1.6,,,,,,1.2,1.7,,
129,2019-01-19,2.3,-3,728,9.3,1550,,,,,,,4.3,360,1200,3.1,320,1207,.7,596,-1.9,40,1525,75.9,5.3,1019.5,1027.1,1,1019.1,2156,1022.7,10,7,1100,1.71,9.75,,,,,,6.9,,2.2,-8.2,1.4,1.3,1.2,1.7,,,,,,1.2,1.7,.2,
129,2019-01-20,0,-2.9,2238,4.2,120,,,,,,.2,11.3,360,1110,7.8,340,1202,3.9,3376,-9.5,32,1509,50.9,3.2,1020.6,1027,2328,1019.1,42,1023.9,10,9.2,1200,2.13,12.82,,,,,,.9,,1.4,-6.7,1.6,1.8,1.7,2.2,,,,,,1.7,2.5,,
129,2019-01-21,-.5,-8.2,647,6.5,1441,,,,,,,8.3,230,1157,5.8,320,1158,2,1731,-6,43,1508,67.6,4,1019.5,1027.1,27,1020.6,1741,1022.8,10.1,5.2,1400,1.41,7.77,,,,,,4.4,,-.1,-12,.6,1,1.3,2,,,,,,1.1,1.5,,
129,2019-01-22,.3,-5.5,630,7.9,1331,,,,,,,7.3,230,1215,5.6,320,1237,1.3,1158,-4.3,31,1521,75.8,4.5,1016.9,1021.6,1,1019,1438,1020.2,10.1,6.9,1200,2.22,11.03,,,,,,2.5,,1.5,-10.5,1.2,1.3,1.3,1.9,,,,,,1.4,2.1,,
129,2019-01-23,1,-5.3,732,7.9,1313,,,,,,,7.1,320,1300,5.5,340,1454,1.8,1512,-6,29,1530,64.1,4,1018.2,1024.5,2357,1018.4,518,1021.4,10.1,8.8,1300,2.02,11.63,,,,,,.6,,1.3,-10.5,1.1,1.3,1.4,2,,,,,,1.8,2.5,,
129,2019-01-24,-1.7,-8.4,758,6.8,1518,,,,,,,5.2,320,1552,4.2,340,1554,1.2,1002,-12.4,8,1618,50.4,2.5,1022.1,1026.6,1004,1024.2,1413,1025.4,10.1,9.2,1200,2.15,13.3,,,,,,.5,,.7,-12.9,.8,1,1.2,1.9,,,,,,1.9,2.7,,
129,2019-01-25,-2,-7.1,751,3.4,1116,,,,,,,10.2,340,1520,7.4,340,1504,3,2555,-10.9,32,1623,53.9,2.7,1022.1,1027.2,2350,1023.8,1459,1025.4,10.2,9.1,1200,2.13,12.76,,,,,,2.8,,-.1,-11.9,.2,.8,1,1.7,,,,,,2.2,3.1,,
129,2019-01-26,-2.6,-7.7,2320,1.4,1517,,,,,,,9,340,610,5.5,340,1541,2.9,2516,-11.5,32,1328,51.9,2.6,1026.1,1030.8,2256,1027.2,1,1029.4,10.2,9.2,1200,2.27,13.92,,,,,,.1,,-.4,-13.2,.2,.7,.9,1.6,,,,,,1.4,1.9,,
129,2019-01-27,-1.3,-10.2,547,5.8,1335,,,,,,,6.5,360,1631,4.3,320,1638,1.5,1286,-6,44,1111,72.4,4.1,1024.4,1031.4,855,1022.2,2339,1027.7,10.2,8.4,1200,2.18,13.44,,,,,,4.4,,.2,-15.1,0,.4,.7,1.4,,,,,,1.6,2.2,0,
129,2019-01-28,1.6,-4.2,2400,4.8,131,,,,,,0,9.2,360,1550,6.9,340,1509,3.3,2861,-7,29,1122,54.9,3.9,1020.5,1027.2,2342,1020,516,1023.8,10.2,8.2,1200,2.15,12.66,,,,,,2.8,,2.2,-10.2,1,.9,.9,1.5,,,,,,1.8,2.6,,
129,2019-01-29,-1.8,-8.8,622,6.5,1542,,,,,,,4.7,360,1601,3.5,320,1622,1,883,-10,25,1419,57.3,2.9,1025,1029.9,1030,1026.9,1540,1028.3,10.3,9.3,1200,2.27,13.96,,,,,,2.8,,.6,-13.3,.5,.8,1,1.7,,,,,,1.7,2.4,,
129,2019-01-30,1.5,-6.4,746,8.7,1449,,,,,,,5.5,290,1517,3.4,360,1649,1,823,-3.4,43,1423,71.6,4.8,1022.8,1028.9,229,1023.5,2340,1026.1,10.3,7.9,1200,2.07,12.32,,,,,,6.3,,2.7,-10.5,1.4,1.2,1.2,1.7,,,,,,1.4,2,,
129,2019-01-31,-.6,-4.3,1904,2.5,139,,,,,,,8.8,340,1406,6.2,340,1414,2.7,2325,-9.3,38,1506,53.3,3.2,1019.3,1024.9,2345,1020.8,1507,1022.6,10.3,3.7,1400,1.74,4.32,,,,,,7.1,,1.3,-10.1,1.5,1.7,1.6,2.1,,,,,,.9,1.3,,
129,2019-02-01,-2.3,-6.5,2357,3.9,1343,,,,,,.1,6.4,250,1419,4.2,290,1250,1.2,1034,-6.9,48,1200,71.8,3.7,1021.4,1026,1053,1023.8,1705,1024.7,10.4,5.5,1100,2.22,9.6,,,,,,5,,-1,-12.6,.7,1.1,1.2,1.9,,,,,,.9,1.3,.1,
129,2019-02-02,2.2,-6.9,42,8.2,1546,,,,,,.3,6.7,180,1422,5,290,1556,1.7,1487,-3.1,46,1547,69.6,4.9,1018.3,1024.7,57,1017.9,2356,1021.6,10.4,2.3,1300,1.43,7.52,,,,,,7.5,,1.8,-12.6,1,1.1,1.1,1.7,,,,,,1.1,1.6,13,
129,2019-02-03,5.3,2.2,2344,8.4,932,,,,,,15.6,8.7,360,2058,6.6,340,2048,2.7,2336,4,65,2400,92.4,8.3,1010.2,1020.8,2400,1009.3,1336,1013.4,10.4,0,1300,.22,.97,,,,,,8.6,,4.4,-.3,3.4,3.2,2.5,2.6,,,,,,.4,.6,2.9,
129,2019-02-04,-.1,-4.8,726,4.6,1444,,,,,,,6.6,290,9,4.4,340,2,1.3,1091,-9.2,20,1503,54.5,3.1,1023.1,1028.9,1007,1020.8,1,1026.3,10.5,8.3,1200,2.3,14.14,,,,,,2.9,,2.4,-10.5,2.3,2.5,2.5,2.9,,,,,,1.6,2.4,,
129,2019-02-05,1.4,-5.5,756,10.2,1425,,,,,,,6.5,360,1353,4.9,320,1354,1.3,1117,-7.3,19,1325,58,3.6,1018.2,1026.2,1,1018.5,2340,1021.5,10.5,7.6,1300,2.17,12.81,,,,,,4.6,,1.4,-9.9,1.8,2,2,2.6,,,,,,1.8,2.5,,
