지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
129,2017-01-01,3.5,-1.5,743,9.7,1415,,,,,,,5.4,200,1335,3.6,180,1351,.9,811,2.7,75,1408,95.5,7.5,1024.7,1031.4,1019,1025.3,2400,1028.3,9.7,4,1400,1.03,5.31,,,,,,7.1,5.8,5.3,-3.1,,,,,,,,,,.6,.8,.4,
129,2017-01-02,5.3,.4,120,10.9,1301,1.67,,,,,.4,6.1,270,1352,4.4,320,1321,1.6,1379,4.2,68,1507,93.8,8.3,1020,1025.3,1,1021.7,1421,1023.6,9.7,4.6,1400,1.02,5.11,,,,,,7.4,6.6,7,-2.3,,,,,,,,,,.6,.9,,
129,2017-01-03,1.5,-3.3,737,8.1,1503,,,,,,,5.7,230,1250,3.9,200,1410,1.3,1140,-.3,65,1531,88.5,6,1021.5,1026.7,810,1023.9,1718,1025.1,9.7,8.6,1200,1.35,7.95,,,,,,.1,.1,4.4,-7.4,,,,,,,,,,.9,1.2,,
129,2017-01-04,3.5,-2,7,9.9,1457,,,,,,,5.4,320,1500,3.4,340,1227,1.1,915,.1,36,1621,80.8,6.2,1021.2,1026.3,2319,1023.4,1450,1024.8,9.7,7.3,1200,1.33,6.99,,,,,,4.5,3,4.6,-4.4,,,,,,,,,,1,1.4,,
129,2017-01-05,4.4,-1.2,221,7.6,1849,,,,,,,6.2,70,1331,3.5,50,1210,1.7,1488,.5,64,1332,76.8,6.4,1023.2,1027.8,2158,1025.8,510,1026.8,9.8,0,1200,.65,3.42,,,,,,8.5,2.6,5.2,-2.7,,,,,,,,,,.8,1.1,,
129,2017-01-06,5.4,.1,2358,10.7,1508,,,,,,,5.5,110,12,2.8,90,217,1.2,1018,2.3,63,1506,82,7.3,1023.2,1028.6,926,1025.4,1518,1026.8,9.8,2,1400,.88,4.5,,,,,,4.5,3.9,7.2,-3.5,,,,,,,,,,.6,.9,,
129,2017-01-07,4,-2.1,801,9.8,1318,,,,,,,4.2,320,1502,2.8,340,1505,1.1,960,2.1,63,1324,88.5,7.2,1018,1025.5,1,1018.7,1746,1021.6,9.8,5.1,1200,1.21,6.08,,,,,,6.4,3.3,5.2,-5.9,,,,,,,,,,.8,1.2,,
129,2017-01-08,6.6,4.3,7,11,1313,.58,,,,,0,7.4,290,2337,4.9,290,2340,2.2,1861,3.4,64,1315,80.9,7.9,1011.4,1019.2,1,1012.9,1437,1015,9.8,.7,1300,.89,3.86,,,,,,9,8,7.8,5.5,,,,,,,,,,.8,1.1,0,
129,2017-01-09,2.5,-4.2,2254,5.5,1223,,,,,,,8.6,270,143,6,270,150,3.2,2785,-1,59,1816,78,5.7,1015.3,1022,2352,1014.7,45,1018.9,9.8,7.2,1200,1.41,7.12,,,,,,3.4,3.4,6.6,-8.1,,,,,,,,,,.9,1.2,,
129,2017-01-10,-.7,-3.8,158,3.1,1130,.67,,,,,.1,8.7,290,1517,5.6,320,1526,2.5,2174,-5.8,54,2106,68.8,4.1,1021.5,1028.8,2359,1022,1,1025.2,9.8,5.9,1000,.88,5.04,,,,,,3.5,3.5,2.5,-8.2,,,,,,,,,,.8,1.1,.1,
